Model;Decoration;K;Llk;AIC;BIC
GTR;+R;750;-32679,82867;66859,65734;69344,56182
TN93;+R;747;-32692,67327;66879,34654;69354,31140
GTR;+G+I;746;-32737,09234;66966,18468;69437,83634
GTR;+G;745;-32767,02849;67024,05698;69492,39543
GTR;+I;745;-34392,42564;70274,85128;72743,18973
GTR;;744;-34709,68056;70907,36112;73372,38636
